run,pipes,stages,samples,max_copy,scheduler,buffer,sync,time
2,6,5,200000000,512,smol1,circ,async,15.039850834
2,6,5,200000000,512,smol1,circ,sync,14.181933953
2,6,5,200000000,512,smoln,circ,async,7.045983809
2,6,5,200000000,512,smoln,circ,sync,6.795203566
2,6,7,200000000,512,flow,circ,async,5.259908323
2,6,7,200000000,512,flow,circ,sync,5.123129466
2,6,7,200000000,512,smol1,circ,async,19.402945837
2,6,7,200000000,512,smol1,circ,sync,18.205335324
2,6,7,200000000,512,smoln,circ,async,9.069333068
2,6,7,200000000,512,smoln,circ,sync,8.629498653
2,6,9,200000000,512,flow,circ,async,6.603076497
2,6,9,200000000,512,flow,circ,sync,6.238665686
2,6,9,200000000,512,smol1,circ,async,23.732244278
2,6,9,200000000,512,smol1,circ,sync,22.130518789
2,6,9,200000000,512,smoln,circ,async,10.806463545
2,6,9,200000000,512,smoln,circ,sync,10.497584054
3,6,11,200000000,512,flow,circ,async,7.566492008
3,6,11,200000000,512,flow,circ,sync,7.017227877
3,6,11,200000000,512,smol1,circ,async,28.823919036
3,6,11,200000000,512,smol1,circ,sync,26.342938554
3,6,11,200000000,512,smoln,circ,async,12.57857491
3,6,11,200000000,512,smoln,circ,sync,12.28209358
3,6,1,200000000,512,flow,circ,async,1.936958587
3,6,1,200000000,512,flow,circ,sync,1.965818605
3,6,1,200000000,512,smol1,circ,async,6.532111509
3,6,1,200000000,512,smol1,circ,sync,6.310517438
3,6,1,200000000,512,smoln,circ,async,3.289215882
3,6,1,200000000,512,smoln,circ,sync,3.261417755
3,6,13,200000000,512,flow,circ,async,9.385793959
3,6,13,200000000,512,flow,circ,sync,8.427498969
3,6,13,200000000,512,smol1,circ,async,33.059689373
3,6,13,200000000,512,smol1,circ,sync,30.448775559
3,6,13,200000000,512,smoln,circ,async,14.683113944
3,6,13,200000000,512,smoln,circ,sync,14.069519257
3,6,15,200000000,512,flow,circ,async,9.561705073
3,6,15,200000000,512,flow,circ,sync,9.667169263
3,6,15,200000000,512,smol1,circ,async,37.376774323
3,6,15,200000000,512,smol1,circ,sync,35.265754736
3,6,15,200000000,512,smoln,circ,async,16.411842314
3,6,15,200000000,512,smoln,circ,sync,15.671903452
3,6,17,200000000,512,flow,circ,async,11.511295021
3,6,17,200000000,512,flow,circ,sync,10.200036293
3,6,17,200000000,512,smol1,circ,async,42.698340816
3,6,17,200000000,512,smol1,circ,sync,39.508342065
3,6,17,200000000,512,smoln,circ,async,18.457777593
3,6,17,200000000,512,smoln,circ,sync,17.640000667
3,6,19,200000000,512,flow,circ,async,12.892528305999999
3,6,19,200000000,512,flow,circ,sync,11.593020038
3,6,19,200000000,512,smol1,circ,async,48.347741317
3,6,19,200000000,512,smol1,circ,sync,43.93111462
3,6,19,200000000,512,smoln,circ,async,20.062566908
3,6,19,200000000,512,smoln,circ,sync,19.497823522
3,6,21,200000000,512,smol1,circ,async,52.489358486
3,6,21,200000000,512,smol1,circ,sync,48.613075079

3,6,3,200000000,512,flow,circ,async,3.244573358
3,6,3,200000000,512,flow,circ,sync,3.02194077
3,6,3,200000000,512,smol1,circ,async,10.631470471
3,6,3,200000000,512,smol1,circ,sync,10.211143396
3,6,3,200000000,512,smoln,circ,async,5.216512851
3,6,3,200000000,512,smoln,circ,sync,5.010596998
3,6,5,200000000,512,flow,circ,async,4.422006522
3,6,5,200000000,512,flow,circ,sync,3.996119833
3,6,5,200000000,512,smol1,circ,async,15.012737397
3,6,5,200000000,512,smol1,circ,sync,14.209376688
3,6,5,200000000,512,smoln,circ,async,7.085210866
3,6,5,200000000,512,smoln,circ,sync,6.984473058
3,6,7,200000000,512,flow,circ,async,5.627077796
3,6,7,200000000,512,flow,circ,sync,5.037116572
3,6,7,200000000,512,smol1,circ,async,19.835552697
3,6,7,200000000,512,smol1,circ,sync,18.516015206
3,6,7,200000000,512,smoln,circ,async,9.082154833
3,6,7,200000000,512,smoln,circ,sync,8.604752924
3,6,9,200000000,512,flow,circ,async,6.9652448289999995
3,6,9,200000000,512,flow,circ,sync,6.250138785
3,6,9,200000000,512,smol1,circ,async,24.258304576
3,6,9,200000000,512,smol1,circ,sync,22.283314473
3,6,9,200000000,512,smoln,circ,async,10.772882821
3,6,9,200000000,512,smoln,circ,sync,10.597229107
